"selection1_item_names","selection1_release_date","selection1_date_of_stock","selection1_price","selection1_sales"
"DREAMCATCHER - Mini Album Vol.5 [Dystopia : Lose Myself] (Limited Edition)","Release 2020-08-18","(Expected) Date of stock 2020-09-11","USD 16.89 USD 21.73","Sales 8,216"
"ITZY - Album [Not Shy] (Random Ver.) *Different versions will be sent in case of purchasing 3 or more","Release 2020-08-18","(Expected) Date of stock 2020-08-17","USD 11.62 USD 14.52","Sales 26,991"
"LUCY - Mini Album Vol.1 [PANORAMA]","Release 2020-08-14","(Expected) Date of stock 2020-09-21","USD 16.81 USD 20.94","Sales 838"
"SSAK3 - Special Album Package (Normal ver.) * to buy poster, please select the poster option","Release 2020-08-14","(Expected) Date of stock 2020-08-28","USD 9.59",""
"SSAK3 - Special Album Package (Special ver.) * to buy poster, please select the poster option","Release 2020-08-14","(Expected) Date of stock 2020-08-28","USD 29.30",""
"(Out Of Stock) It's Okay to Not Be Okay O.S.T - tvN Drama (Track list : Heize)","Release 2020-08-14","(Expected) Date of stock 2020-08-21","USD 22.43 USD 29.03","Sales 2,000"
"[Photobook] This Month’s Girl (LOONA) - 2020 SUMMER PACKAGE LOONA ISLAND : 소녀들이 만난 여름","Release 2020-08-14","(Expected) Date of stock 2020-08-13","USD 38.71","Sales 1,732"
"Park Jung Hyun (Lena Park) - Album Vol.4 [My Songs]","Release 2020-08-13","(Expected) Date of stock 2020-09-14","USD 9.94 USD 12.93","Sales 4"
"TREASURE - Single Album Vol.1 [THE FIRST STEP : CHAPTER ONE] (BLACK Ver.)","Release 2020-08-13","(Expected) Date of stock 2020-09-10","USD 12.06 USD 16.19","Sales 67,737"
"TREASURE - Single Album Vol.1 [THE FIRST STEP : CHAPTER ONE] (WHITE Ver.)","Release 2020-08-13","(Expected) Date of stock 2020-09-10","USD 12.06 USD 16.19","Sales 63,595"
"(Out Of Stock) Park Bo Gum - Album [ALL MY LOVE] (Limited Edition)","Release 2020-08-12","(Expected) Date of stock 2020-08-12","USD 10.30 USD 12.93","Sales 315"
"(Out Of Stock) [PHOTOBOOK] MONSTA X - MONSTA X 2020 PHOTO BOOK *Ktown4u Pre-order benefit : Sticker 2p 1set","Release 2020-08-12","(Expected) Date of stock 2020-08-11","USD 36.95","Sales 1,528"
"[PHOTOBOOK] WJSN (Cosmic Girls) - WJSN 1ST PHOTOBOOK [ON&OFF] Ego : OFF","Release 2020-08-12","(Expected) Date of stock 2020-08-12","USD 35.19","Sales 2,154"
"[PHOTOBOOK] WJSN (Cosmic Girls) - WJSN 1ST PHOTOBOOK [ON&OFF] Persona : ON","Release 2020-08-12","(Expected) Date of stock 2020-08-12","USD 35.19","Sales 2,522"
"HAN SEUNG WOO - Mini Album Vol.1 [Fame] (HAN Ver.)","Release 2020-08-11","(Expected) Date of stock 2020-09-09","USD 12.93 USD 16.28","Sales 5,114"
"HAN SEUNG WOO - Mini Album Vol.1 [Fame] (SEUNG ver.)","Release 2020-08-11","(Expected) Date of stock 2020-09-21","USD 12.93 USD 16.28","Sales 5,293"
