"selection1_item_names","selection1_release_date","selection1_date_of_stock","selection1_price","selection1_sales"
"B.I.G - Single Album [ILLUSION]","Release 2019-11-07","(Expected) Date of stock 2020-06-29","USD 10.30 USD 12.93","Sales 35"
"DONGKIZ - Mini Album Vol.1 [DONGKY TOWN]","Release 2019-11-07","(Expected) Date of stock 2020-08-24","USD 11.26 USD 14.52","Sales 57"
"Kim Dong Jun - Mini Album Vol.1 [Twenty-nine, around that time.]","Release 2019-11-07","(Expected) Date of stock 2020-09-07","USD 16.72 USD 21.64","Sales 70"
"JEONG MIN - Single Album Vol.2 [Why? 왜 그땐 몰랐을까]","Release 2019-11-05","(Expected) Date of stock 2020-05-07","USD 11.62 USD 14.52","Sales 16"
"LEE JIN HYUK - Solo Album [S.O.L] (PURE ver.)","Release 2019-11-05","(Expected) Date of stock 2020-08-24","USD 12.93 USD 16.28","Sales 2,768"
"OnlyOneOf - Mini Album Vol.2 [line sun goodness] (White Ver.)","Release 2019-10-31","(Expected) Date of stock 2020-07-08","USD 12.93 USD 16.28","Sales 142"
"Paul Kim - Album Vol.2 [Mind, one]","Release 2019-10-31","(Expected) Date of stock 2020-09-07","USD 15.57 USD 19.36","Sales 33"
"SuperM - Mini Album Vol.1 [SuperM] (Random Ver.)","Release 2019-10-31","(Expected) Date of stock 2020-09-14","USD 12.93 USD 16.28","Sales 526"
"zai.ro - 2019 zai.ro Concert New Zeneration Live Album & Photobook (Limited Edition)","Release 2019-10-31","(Expected) Date of stock 2019-10-30","USD 33.61 USD 43.11","Sales 151"
"靑空少年 - Single Album Vol.2 [BLUE]","Release 2019-10-31","(Expected) Date of stock 2020-09-14","USD 11.26 USD 14.52","Sales 5"
"MONSTA X - Mini Album [FOLLOW - FIND YOU] (Random Ver.)","Release 2019-10-29","(Expected) Date of stock 2020-09-15","USD 12.93 USD 16.28","Sales 7,717"
"WINNER - Mini Album Vol.3 [CROSS] (CROSSLIGHT Ver.)","Release 2019-10-29","(Expected) Date of stock 2020-09-14","USD 13.37 USD 17.68","Sales 6,338"
"WINNER - Mini Album Vol.3 [CROSS] (CROSSROAD Ver.)","Release 2019-10-29","(Expected) Date of stock 2020-08-19","USD 13.37 USD 17.68","Sales 5,311"
"TAEYEON - Album Vol.2 [Purpose] (Deluxe Edition) (Small registered packet & K-Packet is not possible to be sent for order with Tube)","Release 2019-10-28","(Expected) Date of stock 2020-09-10","USD 16.81 USD 20.94","Sales 4,354"
"TAEYEON - Album Vol.2 [Purpose] (Random Ver.)","Release 2019-10-28","(Expected) Date of stock 2019-10-28","USD 12.76 USD 18.56","Sales 60,848"
"ARIAZ - Mini Album Vol.1 [Grand Opera]","Release 2019-10-24","(Expected) Date of stock 2020-08-31","USD 9.94 USD 12.93","Sales 85"
"DAY6 - Album Vol.3 [The Book of Us : Entropy] (Random Ver.) (second press)","Release 2019-10-23","(Expected) Date of stock 2020-09-14","USD 12.32 USD 15.31","Sales 3,882"
"NU'EST - Mini Album Vol.7 [The Table] (Kit Album) *Due to the built-in battery of the Khino album, only 1 item could be ordered and shipped to abroad at a time.","Release 2019-10-22","(Expected) Date of stock 2020-01-13","USD 18.21 USD 23.75","Sales 127"
"NU'EST - Mini Album Vol.7 [The Table] (Random Ver.)","Release 2019-10-22","(Expected) Date of stock 2020-09-14","USD 13.64 USD 17.60","Sales 4,174"
"TXT(TOMORROW X TOGETHER) - Album Vol.1 [The Dream Chapter : MAGIC] (Random Ver.)","Release 2019-10-22","(Expected) Date of stock 2020-09-21","USD 14.34 USD 17.60","Sales 11,712"
"VAV - Mini Album Vol.5 [POISON]","Release 2019-10-22","(Expected) Date of stock 2020-09-15","USD 9.33 USD 12.06","Sales 731"
"LIM HYUN SIK - Mini Album Vol.1 [RENDEZ-VOUS]","Release 2019-10-15","(Expected) Date of stock 2020-09-09","USD 12.32 USD 15.40","Sales 424"
"Super Junior - Album Vol.9 [Time_Slip] (Random Ver.)","Release 2019-10-15","(Expected) Date of stock 2020-09-01","USD 14.34 USD 17.60","Sales 365"
"JUNG DAE HYUN - Single Album Vol.1 [Aight]","Release 2019-10-12","(Expected) Date of stock 2020-09-07","USD 10.65 USD 13.73","Sales 379"
"Ladies` Code - Mini Album [CODE#03 SET ME FREE]","Release 2019-10-10","(Expected) Date of stock 2020-09-14","USD 11.62 USD 14.52","Sales 199"
"ATEEZ - Album Vol.1 [TREASURE EP.FIN : All To Action] (A Ver.)","Release 2019-10-09","(Expected) Date of stock 2020-09-21","USD 13.04 USD 16.98","Sales 6,314"
"ATEEZ - Album Vol.1 [TREASURE EP.FIN : All To Action] (Z Ver.)","Release 2019-10-09","(Expected) Date of stock 2020-09-21","USD 13.04 USD 16.98","Sales 6,352"
"AB6IX - Album Vol.1 [6IXENSE] (6IX Ver.) (Small registered packet & K-Packet is not possible to be sent for order with Tube)","Release 2019-10-08","(Expected) Date of stock 2020-09-21","USD 16.19 USD 20.94","Sales 7,591"
"AB6IX - Album Vol.1 [6IXENSE] (SENSE Ver.) (Small registered packet & K-Packet is not possible to be sent for order with Tube)","Release 2019-10-08","(Expected) Date of stock 2020-09-11","USD 16.19 USD 20.94","Sales 6,986"
"EXO : CHEN - Mini Album Vol.2 [Dear my dear] (Kit Album) *Due to the built-in battery of the Khino album, only 1 item could be ordered and shipped to abroad at a time.","Release 2019-10-08","(Expected) Date of stock 2020-09-21","USD 15.57 USD 19.36","Sales 533"
"ONF - Mini Album Vol.4 [GO LIVE]","Release 2019-10-08","(Expected) Date of stock 2020-09-09","USD 12.49 USD 16.28","Sales 824"
"EXO : CHEN - Mini Album Vol.2 [Dear my dear] (Random Ver.)","Release 2019-10-02","(Expected) Date of stock 2020-09-14","USD 12.93 USD 16.28","Sales 12,998"
"Ha Min Woo - Mini Album Vol.2 [THE TEMPO]","Release 2019-10-02","(Expected) Date of stock 2020-03-19","USD 12.49 USD 16.28","Sales 9"
"Jeong Se Woon - Mini Album [DAY] (Random Ver.)","Release 2019-10-02","(Expected) Date of stock 2020-08-19","USD 12.93 USD 16.28","Sales 165"
"Brown Eyed Soul - Album [It' Soul Right]","Release 2019-10-01","(Expected) Date of stock 2020-07-22","USD 12.49 USD 16.28","Sales 10"
"(Out Of Stock) PurpleBeck - Single Album Vol.2 [Dream Line] (Numbering Limited Edition)","Release 2019-10-01","(Expected) Date of stock 2019-10-07","USD 9.94 USD 12.93","Sales 430"
"Be Melodramatic O.S.T - JTBC Drama","Release 2019-10-01","(Expected) Date of stock 2020-09-15","USD 12.49 USD 16.28","Sales 54"
"[DVD] NU'EST - 2019 NU'EST CONCERT [Segno] IN SEOUL DVD","Release 2019-10-01","(Expected) Date of stock 2020-07-23","USD 37.83","Sales 277"
"AKMU - FULL ALBUM Vol.3 [SAILING]","Release 2019-09-26","(Expected) Date of stock 2020-09-14","USD 15.75 USD 20.94","Sales 948"
"TWICE - Mini Album Vol.8 [Feel Special] (Random Ver.)","Release 2019-09-24","(Expected) Date of stock 2020-09-15","USD 14.34 USD 17.68","Sales 31,314"
"HOLICS - Single Album Vol.4 [I’M UR FAN]","Release 2019-09-21","(Expected) Date of stock 2019-10-17","USD 9.94 USD 12.93","Sales 1"
"SATURDAY - Single Album Vol.3 [IKYK]","Release 2019-09-20","(Expected) Date of stock 2020-09-14","USD 9.68 USD 12.93","Sales 470"
"teen teen - Mini Album Vol.1 [VERY, ON TOP]","Release 2019-09-20","(Expected) Date of stock 2020-09-07","USD 14.34 USD 17.68","Sales 107"
"KOOK HEON & YU VIN - Single Kit Album [blurry] *Due to the built-in battery inside, only 1 item can be shipped per package","Release 2019-09-19","(Expected) Date of stock 2020-07-22","USD 15.31 USD 20.41","Sales 36"
"DREAMCATCHER - Kit Audio Special Mini Album [Raid of Dream] *Due to the built-in battery inside, only 1 item can be shipped per package","Release 2019-09-18","(Expected) Date of stock 2020-09-03","USD 18.39 USD 23.75","Sales 589"
"KIRIN - EP Album [YUNU IN THE HOUSE]","Release 2019-09-17","(Expected) Date of stock 2020-06-15","USD 12.14 USD 16.28","Sales 4"
"Seventeen - Album Vol.3 [An Ode] (Begin Ver.) (Second press)","Release 2019-09-17","(Expected) Date of stock 2020-08-10","USD 13.90 USD 18.56","Sales 19,790"
"Seventeen - Album Vol.3 [An Ode] (Real Ver.) (Second press)","Release 2019-09-17","(Expected) Date of stock 2020-08-10","USD 13.90 USD 18.56","Sales 20,295"
"Seventeen - Album Vol.3 [An Ode] (The Poet Ver.) (Second press)","Release 2019-09-17","(Expected) Date of stock 2020-08-10","USD 13.90 USD 18.56","Sales 19,447"
"Seventeen - Album Vol.3 [An Ode] (Truth Ver.) (Second press)","Release 2019-09-17","(Expected) Date of stock 2020-08-10","USD 13.90 USD 18.56","Sales 19,982"
"ASH ISLAND - Debut Album [ASH]","Release 2019-09-10","(Expected) Date of stock 2020-09-14","USD 11.44 USD 15.22","Sales 685"
"FTISLAND - Mini Album Vol.7 [ZAPPING]","Release 2019-09-10","(Expected) Date of stock 2020-08-11","USD 12.32 USD 15.40","Sales 1,103"
"[PHOTOBOOK] EXO - [PRESENT ; the moment] Photobook","Release 2019-09-10","(Expected) Date of stock 2020-09-30","USD 29.03","Sales 8,634"
"Moment at Eighteen O.S.T - JTBC Drama (Ong Seong Wu)","Release 2019-09-09","(Expected) Date of stock 2020-08-03","USD 13.73 USD 17.60","Sales 203"
"[Blu-Ray] GOT7 - GOT7 ♥ I GOT7 5TH FAN MEETING [Dreaming of the soccer king, 'Fly GOT7'] BLU-RAY","Release 2019-09-05","(Expected) Date of stock 2020-08-13","USD 48.38","Sales 164"
"GIRLKIND XJR - Mini Album Vol.1 [Life is Diamond]","Release 2019-09-04","(Expected) Date of stock 2020-09-02","USD 9.68 USD 16.28","Sales 15"
"(Out Of Stock) [Blu-Ray] BTS - BTS MEMORIES OF 2018 Blu-Ray *Pre-order benefit gift (*Order can be canceled cause of early out of stock)","Release 2019-09-03","(Expected) Date of stock 2019-10-28","USD 79.61",""
"Jin Longguo - Mini Album Vol.2 [MONO DIARY]","Release 2019-08-30","(Expected) Date of stock 2020-07-09","USD 12.93 USD 16.28","Sales 324"
"FANXY RED - Single Album Vol.1 [ACTIVATE]","Release 2019-08-29","(Expected) Date of stock 2020-07-16","USD 8.54 USD 11.26","Sales 128"
"X1 - Kit Album [비상: QUANTUM LEAP] (QUATUM LEAP Ver.) *Due to the built-in battery inside, only 1 item can be shipped per package","Release 2019-08-28","(Expected) Date of stock 2020-08-31","USD 15.31 USD 20.41","Sales 2,086"
"X1 - Kit Album [비상: QUANTUM LEAP] (비상 Ver.) *Due to the built-in battery inside, only 1 item can be shipped per package","Release 2019-08-28","(Expected) Date of stock 2020-07-21","USD 15.31 USD 20.41","Sales 2,153"
"X1 - Mini Album Vol.1 [비상: QUANTUM LEAP] (QUANTUM LEAP Ver.) (second press)","Release 2019-08-28","(Expected) Date of stock 2020-09-07","USD 12.14 USD 16.19","Sales 23,176"
"X1 - Mini Album Vol.1 [비상: QUANTUM LEAP] (비상 Ver.) (second press)","Release 2019-08-28","(Expected) Date of stock 2020-09-15","USD 12.14 USD 16.19","Sales 25,700"
"(Out Of Stock) [Blu-Ray] TWICE - TWICE 2ND TOUR ‘TWICELAND ZONE 2：Fantasy Park’ Blu-ray","Release 2019-08-28","(Expected) Date of stock 2019-11-19","USD 48.38","Sales 383"
"UP10TION - Mini Album Vol.8 [The Moment of Illusion] (Illusion Ver.)","Release 2019-08-27","(Expected) Date of stock 2020-09-10","USD 12.93 USD 16.28","Sales 289"
"UP10TION - Mini Album Vol.8 [The Moment of Illusion] (Moment Ver.)","Release 2019-08-27","(Expected) Date of stock 2020-09-15","USD 12.93 USD 16.28","Sales 275"
"IZ - Single Album Vol.2 [FROM:IZ]","Release 2019-08-22","(Expected) Date of stock 2020-09-02","USD 10.30 USD 12.93","Sales 104"
"KISUM - Mini Album Vol.4 [yeah!술]","Release 2019-08-21","(Expected) Date of stock 2020-05-20","USD 11.00 USD 13.73","Sales 35"
"Red Velvet - Mini Album [The ReVe Festival Day 2] (Day 2 Ver.)","Release 2019-08-21","(Expected) Date of stock 2020-09-15","USD 15.57 USD 19.36","Sales 7,076"
"Red Velvet - Mini Album [The ReVe Festival Day 2] (Guide Book Ver.)","Release 2019-08-21","(Expected) Date of stock 2020-09-14","USD 12.32 USD 15.40","Sales 3,506"
"EVERGLOW - Single Album Vol.2 [HUSH]","Release 2019-08-20","(Expected) Date of stock 2020-09-21","USD 11.62 USD 14.52","Sales 2,190"
"THE BOYZ - Mini Album Vol.4 [DreamLike] (DAY Ver.)","Release 2019-08-20","(Expected) Date of stock 2020-09-14","USD 14.34 USD 17.60","Sales 762"
"THE BOYZ - Mini Album Vol.4 [DreamLike] (DREAMLIKE Ver.)","Release 2019-08-20","(Expected) Date of stock 2020-09-14","USD 14.34 USD 17.60","Sales 884"
